Abraham, Mahogany, 475, Velvet Interior, $8095
Gloss, Cherry, 481, Velvet Interior, $6225
Jacob, Maple, 458, Crepe Interior, $5095
Noah, Oak, 43, Crepe Interior, $4095
Radam, Oak, 452, Crepe Interior, $3995
Joseph, Poplar, Tacoma-1, Crepe Interior, $3850
Obadiah, Poplar, 335, Crepe Interior, $3595
Brown, Stained Pine, M2PAP, Crepe Interior, $3350
Samuel, Poplar, 413, Crepe Interior, $3195
Gideon, Poplar, 420, Crepe Interior, $3050
Asher, Unfinished Oak, 444, Crepe Interior, $3795
Aaron, Unfinished Oak, 460, Crepe Interior, $3495
Plain, Unfinished Pine, M2PAP, Crepe Interior, $3250
Clear, Unfinished Poplar, 417, Crepe Interior, $2795
Dan, Unfinished Poplar, 411, Crepe Interior, $2495
31” Plain Oversize, Unfinished Pine, 341, No Interior, $2100
26” Plain Oversize, Unfinished Pine, 341, No Interior, $1950
Shaped Plain, Unfinished Pine, 324, No Interior, $1500
Calvary Plain, Unfinished Pine, No Interior, $1325
Traditional Plain, Unfinished Pine, 441, No Interior, $1225

